标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
多宝华厦原装电梯楼 南向小户型 光线靓,多宝华厦 ,西关,近地铁 VR看装修,0,1个月以前发布,1室0厅,19.85平米,东南,其他,低楼层(共33层),2000年,塔楼,640000.0,32242
骏业阁原装电梯 双地铁物业 户型方正实用 配套成熟,骏业阁 ,西关,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,33.72平米,南,其他,中楼层(共25层),2008年,塔楼,1000000.0,29656
加装电梯筹备中，笋一房一厅，近地铁，配套齐全,桨栏路 ,人民路,近地铁 VR房源 房本满五年 随时看房,8,一年前发布,1室1厅,39.8平米,东,简装,中楼层(共8层),1990年,板楼,900000.0,22614
5min地铁站领展，低层框架结构，配套成熟,丛桂路 ,黄沙,近地铁 VR房源 房本满两年 随时看房,5,6个月以前发布,1室1厅,35.04平米,南,精装,低楼层(共8层),1999年,塔楼,860000.0,24544
金湾明珠 正东靓向 精致装修 实用三房,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,1,28,3室2厅,103.8平米,东,精装,低楼层(共40层),2019年,塔楼,4600000.0,44316
万科柏悦湾 全方位江景 视野开阔 通风采光好,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,3,一年前发布,3室2厅,96.94平米,东北,其他,34层,2010年,塔楼,4650000.0,47968
柏悦湾南向三房两卫 格局通透采光好,万科柏悦湾 ,大坦沙,近地铁 VR房源 房本满五年,0,4个月以前发布,3室2厅,96.09平米,东南,精装,34层,2010年,塔楼,4600000.0,47872
荔尚国际 望花园三房户型 保养新净 方正实用 厅出阳台,荔尚国际 ,西关,近地铁 VR看装修 房本满五年,3,一年前发布,3室2厅,101.53平米,北,精装,中楼层(共17层),2008年,塔楼,4900000.0,48262
万科柏悦湾 中高层 电梯三房 南向 产权清晰 无抵押,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,1,一年前发布,3室2厅,98.28平米,南,精装,28层,2012年,塔楼,5000000.0,50876
柏悦湾二期南向高层望江3房 视野开阔 无遮挡 长阳台,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,0,6个月以前发布,3室2厅,98.28平米,南,精装,28层,2012年,塔楼,4800000.0,48841
万科柏悦湾 中层望江实用三房 视野开阔 通风采光好,万科柏悦湾 ,大坦沙,近地铁 VR房源 房本满五年,0,3个月以前发布,3室2厅,96.04平米,北,精装,34层,2010年,塔楼,4700000.0,48938
东南向大三房，无遮挡采光好，低楼层适合老人小孩居住,花语水岸 ,大坦沙,近地铁 VR房源 房本满五年,0,5个月以前发布,3室1厅,108.5平米,南,其他,26层,2015年,塔楼,5000000.0,46083
金湾明珠 高层江景 精装三房 预约睇楼,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,0,2个月以前发布,3室2厅,97.34平米,东,精装,高楼层(共40层),2019年,塔楼,4980000.0,51161
花语水岸 满五唯一 高层视野采光好 房子保养新,花语水岸 ,大坦沙,近地铁 VR看装修 房本满五年,0,29,3室2厅,107.07平米,东北,精装,26层,2015年,塔楼,4960000.0,46325
花语水岸 南向高层大三房 保养新 看房方便,花语水岸 ,大坦沙,近地铁 VR看装修 房本满两年,1,3个月以前发布,3室2厅,108.67平米,东南,其他,21层,2015年,塔楼,5000000.0,46011
金湾明珠  望江望花园  视野开阔 安静舒适,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,0,一年前发布,3室2厅,96.71平米,东,精装,中楼层(共40层),2017年,塔楼,4950000.0,51184
产权清晰，户型方正，望江看花园，通风采光好,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,5,一年前发布,3室2厅,97.34平米,东,精装,高楼层(共40层),2018年,塔楼,4750000.0,48799
万科柏悦湾 高层精装3房2卫  诚意出 望江望江,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,0,11个月以前发布,3室1厅,95.44平米,南北,其他,34层,2010年,塔楼,4700000.0,49246
万科柏悦湾 南向高层 望三江汇聚 高使用率,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年 随时看房,1,4个月以前发布,3室2厅,98.28平米,南,其他,28层,2012年,塔楼,4820000.0,49044
天佑社区，大院管理，24小时安保，居住安全且舒适,黄沙大道 ,黄沙,近地铁 VR看装修 房本满五年 随时看房,2,9个月以前发布,2室1厅,28.75平米,东,简装,中楼层(共7层),1991年,塔楼,850000.0,29566
恒宝华庭 1号线长寿路地铁 3面视野无遮挡,恒宝华庭 ,西关,近地铁 VR看装修 房本满五年,4,一年前发布,3室1厅,97.43平米,南,精装,中楼层(共31层),2000年,板塔结合,4990000.0,51217
恒宝华庭 带有外飘阳台的东南户型 产权满五,恒宝华庭 ,西关,近地铁 VR看装修 房本满五年,0,一年前发布,3室2厅,91.9平米,东南,精装,中楼层(共31层),2000年,塔楼,4980000.0,54190
悦江上品苑 高层次新三房 望江视野开阔,悦江上品苑 ,大坦沙,近地铁 VR看装修 房本满五年 随时看房,5,一年前发布,3室2厅,94.58平米,西北北,其他,高楼层(共26层),2016年,塔楼,4800000.0,50751
恒宝华庭 东南向望花园 三房两厅  业主 诚心放卖,恒宝华庭 ,西关,近地铁 VR房源 房本满两年,1,9个月以前发布,3室2厅,92平米,东北,简装,中楼层(共31层),2000年,塔楼,5000000.0,54348
花语水岸 精装高层3房2卫 采光好  格局方正,花语水岸 ,大坦沙,近地铁 VR房源 房本满五年,1,4个月以前发布,3室1厅,108.19平米,南,其他,高楼层(共26层),2015年,塔楼,4990000.0,46123
首层 黄沙板块 恩宁永庆坊 近地铁,蓬莱路 ,黄沙,近地铁 VR看装修 房本满两年 随时看房,5,一年前发布,2室1厅,28.96平米,南,精装,低楼层(共3层),,板楼,830000.0,28661
柏悦湾 5/6号双线地铁坦尾站 高层望江  几乎全新大3房,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,19,一年前发布,3室2厅,98.28平米,东南,其他,28层,2012年,塔楼,4800000.0,48841
急！急！急！ 花语水岸 南向大三房 视野开阔 保养新,花语水岸 ,大坦沙,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,3室2厅,108.42平米,东南,其他,21层,2015年,塔楼,4590000.0,42336
柏悦湾 南向高层 望江3房 5/6号双线地铁站 坦尾站,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,7,一年前发布,3室2厅,95.84平米,西南,简装,21层,2012年,塔楼,4980000.0,51962
悦江上品苑实用3房，视野开阔无遮挡，西北向望江，,悦江上品苑 ,大坦沙,近地铁 VR看装修 房本满五年 随时看房,2,11个月以前发布,3室2厅,94.69平米,西北,其他,中楼层(共26层),2016年,塔楼,4700000.0,49636
通爽光猛正对园景，安静！现改小三房，有意可商议！,逸翠湾 ,黄沙,近地铁 VR看装修 房本满五年,2,9个月以前发布,3室1厅,104.88平米,东南,其他,低楼层(共36层),2009年,塔楼,5000000.0,47674
花语水岸 精装高层南向3房2卫 景观漂亮 看房方便,花语水岸 ,大坦沙,近地铁 VR看装修 房本满五年,0,1个月以前发布,3室1厅,108.54平米,东南,其他,高楼层(共26层),2015年,塔楼,4980000.0,45882
逸翠湾方正实用2房，厅出阳台，通风采光好,逸翠湾 ,黄沙,近地铁 VR看装修 房本满五年,1,10个月以前发布,2室2厅,90.46平米,东南,其他,低楼层(共45层),2009年,塔楼,5000000.0,55274
逸翠湾东向2房，通风采光好，过5唯一税费低。,逸翠湾 ,黄沙,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,2室2厅,90.46平米,东,其他,低楼层(共45层),2009年,塔楼,4800000.0,53063
花语水岸南向三房两卫，通风视野好，户型方正,花语水岸 ,大坦沙,近地铁 VR房源 房本满五年 随时看房,2,一年前发布,3室1厅,108.42平米,南,精装,21层,2015年,塔楼,4650000.0,42889
悦江上品苑 6号线河沙 望花园 精装3房 实用率高,悦江上品苑 ,大坦沙,近地铁 VR看装修 房本满五年,19,一年前发布,3室2厅,96.61平米,北,其他,低楼层(共26层),2016年,塔楼,4800000.0,49685
万科柏悦湾 精致装修 南向采光通风好,万科柏悦湾 ,大坦沙,近地铁 VR看装修 房本满五年,41,一年前发布,3室2厅,94.04平米,南,精装,34层,2010年,塔楼,4850000.0,51574
满五唯一，高楼层保养很好，南向采光好,花语水岸 ,大坦沙,近地铁 VR看装修 房本满五年,2,1个月以前发布,3室2厅,108.58平米,东南,其他,高楼层(共26层),2015年,塔楼,4960000.0,45681
万科柏悦湾 南北对流 高使用率3房带主套 通风采光好,万科柏悦湾 ,大坦沙,近地铁 VR房源 房本满五年,0,3个月以前发布,3室2厅,97.22平米,南,精装,14层,2012年,塔楼,4600000.0,47316
金湾准新房 东向望江 定制家电家私,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满五年,3,一年前发布,3室2厅,97.08平米,东东南,精装,中楼层(共40层),2018年,塔楼,4700000.0,48414
此房满五年，产权清晰，户型方正，望花园，通风采光好,金湾明珠 ,大坦沙,近地铁 VR看装修 房本满两年 随时看房,1,一年前发布,3室2厅,91.89平米,西南,精装,高楼层(共40层),2017年,塔楼,4770000.0,51910
急 急 急 中高层3房2卫 望花园 5/6号双线坦尾地铁站,花语水岸 ,大坦沙,近地铁 VR看装修 房本满五年,2,一年前发布,3室2厅,106.04平米,东北,精装,26层,2015年,塔楼,4890000.0,46115
南向三房  户型方正   产权清晰,凯德双桥8号 ,大坦沙,近地铁 VR看装修 房本满两年,1,8个月以前发布,3室2厅,109.43平米,东南,其他,低楼层(共33层),,板楼,4850000.0,44321
长寿西站旁 开阳三房 次新楼盘 保养新净,逢源轩 ,西关,近地铁 VR看装修 房本满五年,2,8个月以前发布,3室1厅,94.43平米,南北,简装,中楼层(共32层),2008年,塔楼,4800000.0,50832
逸翠湾二房 低层望花园 带平台,逸翠湾 ,黄沙,近地铁 VR看装修 房本满五年,4,一年前发布,2室1厅,104.92平米,西北,其他,低楼层(共27层),2009年,塔楼,4980000.0,47465
五期南向四房两卫，采光通风好，少有的南向户型,珠岛花园 ,大坦沙,VR看装修 房本满五年 随时看房,2,6个月以前发布,4室2厅,108.59平米,南,简装,低楼层(共23层),1999年,塔楼,3250000.0,29930
全屋定制家具 精装修 人性化分层 分层出租,万科海上传奇 ,芳村,近地铁 房本满五年,4,一年前发布,1室1厅,27平米,南,其他,中楼层(共17层),2016年,板塔结合,1100000.0,40741
司马街小区，平层电梯，小户型，马赛克外墙，证过5年,西华路 ,西华路,近地铁 VR看装修 房本满五年,1,一年前发布,1室1厅,27.07平米,东北,其他,中楼层(共9层),,塔楼,1050000.0,38789
珠岛花园 正规四房二厅 南北对流 高层视野开阔,珠岛花园 ,大坦沙,VR房源 房本满两年,7,一年前发布,4室2厅,108平米,北,精装,高楼层(共23层),1999年,塔楼,4200000.0,38889
海上传奇 安静看花地河景色 可以分层出租,万科海上传奇 ,芳村,近地铁 房本满五年,0,一年前发布,1室1厅,27平米,东,其他,低楼层(共17层),2016年,板塔结合,1200000.0,44445
西华苑 标准的一房一厅 精装修,西华苑 ,西华路,近地铁 VR看装修 房本满五年,1,一年前发布,1室1厅,29平米,北,精装,中楼层(共21层),2002年,板楼,1450000.0,50000
富力盛悦居 小区楼龄新   少有放盘  老城区配套,富力盛悦居 ,西关,近地铁 VR房源 房本满五年,0,7个月以前发布,1室1厅,107.15平米,南北,简装,高楼层(共37层),2011年,塔楼,6080000.0,56743
珠岛花园5期 环境安静 交通便利 电梯四房,珠岛花园 ,大坦沙,VR房源 房本满五年,2,一年前发布,4室2厅,104.47平米,东,其他,低楼层(共23层),1999年,塔楼,4100000.0,39246
保利西悦湾观澜 4室1厅 南,保利西悦湾观澜 ,汾水,VR看装修,0,6个月以前发布,4室1厅,107.97平米,南,精装,低楼层(共25层),2022年,板楼,5800000.0,53719
五期电梯4房 自住保养好 装修新净,珠岛花园 ,大坦沙,VR看装修 房本满五年,0,9个月以前发布,4室2厅,108.7平米,东北,简装,低楼层(共23层),1999年,塔楼,3500000.0,32199
西华路 中层南北对流四房 随时看房,西华路 ,西华路,近地铁 VR看装修 房本满五年,38,一年前发布,4室1厅,97.84平米,南西北,其他,高楼层(共9层),,板楼,2900000.0,29641
近江景配套成熟 看房方便 交通好,万科海上传奇 ,芳村,近地铁 房本满五年,2,一年前发布,1室1厅,27平米,南,精装,高楼层(共17层),2016年,板塔结合,1250000.0,46297
地铁盘 公园房 大四房 高层 原装电梯楼 租金5000,西关大厦 ,人民路,近地铁 VR看装修 房本满两年,2,一年前发布,4室1厅,94平米,南,精装,高楼层(共20层),1989年,塔楼,3280000.0,34894
万盛苑 电梯4房 产权过五年 地铁11号线石围塘在建,万盛苑 ,芳村,VR看装修 房本满五年,74,一年前发布,4室2厅,105平米,东南,简装,中楼层(共12层),2005年,塔楼,3550000.0,33810
流花湖，业主精装修，楼龄新，长形砖外墙，大院管理,站前路(荔湾) ,流花站前,近地铁 VR看装修,0,5个月以前发布,1室0厅,27.82平米,南,精装,中楼层(共9层),,塔楼,1080000.0,38821
华贵路整栋私房  已重建 满五年,华贵路 ,龙津,近地铁 VR看装修 房本满五年,1,一年前发布,1室0厅,25.25平米,东,简装,低楼层(共2层),,暂无数据,1190000.0,47129
翠竹苑二期 实用四房 中高层单位 通风采光好,恒利翠竹苑 ,鹤洞,近地铁 VR看装修 房本满五年 随时看房,14,一年前发布,4室2厅,103.56平米,东南,精装,中楼层(共33层),2000年,塔楼,3000000.0,28969
万科海上传奇 带大平台 1号芳村上盖 白鹅潭芯,万科海上传奇 ,芳村,近地铁 房本满五年,1,一年前发布,1室1厅,27.62平米,西南,精装,低楼层(共17层),2016年,板塔结合,1150000.0,41637
"望园林安静舒适,方正格局实用,滘口地铁站,保养好",新世界逸彩庭园 ,滘口,近地铁 VR房源 房本满五年 随时看房,0,7个月以前发布,4室1厅,99.8平米,西北,其他,低楼层(共6层),2007年,板楼,3680000.0,36874
贵贤上品罕见户型 通风采光良好,贵贤上品 ,龙津,近地铁 房本满五年,14,一年前发布,1室0厅,101.8平米,东南,简装,高楼层(共35层),2013年,塔楼,2180000.0,21415
小区管理，满五唯一 双阳台通风对流，保养新安静不吵,金盈居 ,周门,近地铁 VR看装修 房本满五年,0,8个月以前发布,4室1厅,105.97平米,北,简装,高楼层(共20层),2003年,塔楼,4280000.0,40389
元邦少有复式3层 4房 中高楼层 看房方便,元邦明月星辉 ,龙津,VR房源 房本满五年,16,9个月以前发布,4室2厅,96.31平米,南,其他,中楼层(共16层),2011年,塔楼,7080000.0,73513
双地铁线龙津东路欧家园中层单位,龙津东路 ,龙津,VR看装修 房本满五年,0,3个月以前发布,4室2厅,105.56平米,东南,其他,中楼层(共9层),1997年,塔楼,3300000.0,31262
荔湾南湾 四房二卫全明窗 大平台11方 阳台南向望花园,城启荔港南湾 ,南岸路,近地铁 VR房源 房本满两年,2,11个月以前发布,4室1厅,105.04平米,西南,精装,低楼层(共25层),1999年,塔楼,4200000.0,39985
彩虹地铁站沿线 小区管理 大户型 双阳台 有停车场,西华路 ,西华路,近地铁 VR看装修,3,一年前发布,4室1厅,104.53平米,东西北,其他,中楼层(共9层),1994年,塔楼,3330000.0,31857
桥东小区厅出阳台大三房  满五中层,桥东小区 ,滘口,近地铁 VR房源 房本满五年,13,一年前发布,4室1厅,93.42平米,南,精装,中楼层(共8层),1995年,塔楼,1750000.0,18733
西村地铁口50米大院管理可公积金,荔新大厦 ,西村,VR看装修 房本满两年,0,1个月以前发布,1室0厅,25.28平米,南,其他,高楼层(共9层),,塔楼,1350000.0,53402
电梯大院管理 业主自住 产权清晰 采光好 西场地铁口,富力路 ,南岸路,VR看装修 房本满五年,3,5个月以前发布,4室2厅,95.93平米,东南北,精装,低楼层(共9层),,塔楼,2600000.0,27104
珠岛五期四房两卫  中层采光通风好,珠岛花园 ,大坦沙,VR看装修 房本满五年 随时看房,0,3个月以前发布,4室2厅,108.59平米,北,简装,中楼层(共23层),1999年,塔楼,3180000.0,29285
流花湖畔，4房1厅，南北对流，绝顶4房三代同堂,站前路(荔湾) ,流花站前,VR看装修 房本满两年,0,8个月以前发布,4室1厅,90.46平米,南,其他,中楼层(共9层),,暂无数据,3200000.0,35375
此房已满二，南向四房，可刚需改善,荔江美筑 ,滘口,VR看装修 房本满两年,1,9个月以前发布,4室1厅,107.09平米,西南,精装,高楼层(共14层),2011年,塔楼,4200000.0,39220
荔新大厦电梯四房  精装拎包入住 地铁口  无占用,荔新大厦 ,西村,近地铁 VR看装修 房本满五年,0,3个月以前发布,4室1厅,106.6平米,东,精装,高楼层(共9层),,塔楼,4500000.0,42214
富力环市西苑 南向三房 望花园 户型好,富力环市西苑 ,西村,近地铁 VR房源 房本满五年,0,8个月以前发布,4室1厅,92.86平米,南,其他,低楼层(共14层),2000年,塔楼,5250000.0,56537
协和 商品  5/8号线地铁口 中间楼层,西湾路 ,西村,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,1室1厅,28.62平米,南,其他,中楼层(共6层),,塔楼,1160000.0,40532
陈家祠板块  格局方正  环境好，小区管理好,龙津世家 ,龙津,近地铁 VR看装修 房本满五年,0,8个月以前发布,1室1厅,94.65平米,东南,其他,中楼层(共32层),,塔楼,6100000.0,64448
西湾路，复式一房，地铁300米，xie和，框架,西湾路 ,西村,近地铁 VR看装修 房本满两年 随时看房,0,30,1室1厅,28.7平米,东,其他,低楼层(共9层),1980年,塔楼,1190000.0,41464
